TOP.5ba22be0.00002f51	START
TOP.5ba23045.0001bad3	hashes->salts_done	0
TOP.5ba23045.0001bad3	SUB.5ba23051.00089e66	START
TOP.5ba23045.0001bad3	SUB.5ba23051.00089e66	mask_ctx->mask	deades?d?d
TOP.5ba23045.0001bad3	SUB.5ba23051.00089e66	runtime_start	1537355858
TOP.5ba23045.0001bad3	SUB.5ba23051.00089e66	runtime_stop	1537355858
TOP.5ba23045.0001bad3	SUB.5ba23051.00089e66	status-after-work	6
TOP.5ba23045.0001bad3	SUB.5ba23051.00089e66	STOP
TOP.5ba23045.0001bad3	proc_start	1537355845
TOP.5ba23045.0001bad3	proc_stop	1537355859
TOP.5ba23045.0001bad3	STOP
TOP.5ba24dfb.0001450c	START
TOP.5ba24dfb.0001450c	user_options->separator	:
TOP.5ba24dfb.0001450c	user_options->encoding_from	utf-8
TOP.5ba24dfb.0001450c	user_options->encoding_to	utf-8
TOP.5ba24dfb.0001450c	user_options->rule_buf_l	:
TOP.5ba24dfb.0001450c	user_options->rule_buf_r	:
TOP.5ba24dfb.0001450c	user_options->session	hashcat
TOP.5ba24dfb.0001450c	user_options->limit	0
TOP.5ba24dfb.0001450c	user_options->skip	0
TOP.5ba24dfb.0001450c	user_options->attack_mode	3
TOP.5ba24dfb.0001450c	user_options->benchmark	0
TOP.5ba24dfb.0001450c	user_options->benchmark_all	0
TOP.5ba24dfb.0001450c	user_options->bitmap_max	24
TOP.5ba24dfb.0001450c	user_options->bitmap_min	16
TOP.5ba24dfb.0001450c	user_options->debug_mode	0
TOP.5ba24dfb.0001450c	user_options->example_hashes	0
TOP.5ba24dfb.0001450c	user_options->force	0
TOP.5ba24dfb.0001450c	user_options->gpu_temp_abort	80
TOP.5ba24dfb.0001450c	user_options->gpu_temp_disable	0
TOP.5ba24dfb.0001450c	user_options->hash_mode	2500
TOP.5ba24dfb.0001450c	user_options->hex_charset	0
TOP.5ba24dfb.0001450c	user_options->hex_salt	0
TOP.5ba24dfb.0001450c	user_options->hex_wordlist	0
TOP.5ba24dfb.0001450c	user_options->increment	0
TOP.5ba24dfb.0001450c	user_options->increment_max	256
TOP.5ba24dfb.0001450c	user_options->increment_min	1
